"Gemiddelde WOZ-waarde van woningen op 1 januari; eigendom, regio "
"Onderwerp: |Gemiddelde WOZ-waarde van woningen"
""
"Perioden";"2019";"2020";"2021";"2022**";"2023*"
"Eigendom";"Totaal";"Totaal";"Totaal";"Totaal";"Totaal"
"Regio's";"1 000 euro";"1 000 euro";"1 000 euro";"1 000 euro";"1 000 euro"
"Aa en Hunze";"241";"257";"271";"298";"342"
"Aalsmeer";"337";"361";"383";"427";"495"
"Aalten";"209";"223";"238";"265";"314"
"Achtkarspelen";"182";"192";"206";"226";"256"
"Alblasserdam";"217";"234";"252";"274";"325"
"Albrandswaard";"286";"311";"332";"365";"431"
"Alkmaar";"221";"243";"261";"287";"342"
"Almelo";"170";"184";"198";"225";"272"
"Almere";"222";"251";"276";"310";"363"
"Alphen aan den Rijn";"246";"264";"282";"309";"360"
"Alphen-Chaam";"333";"351";"372";"397";"438"
"Altena";"257";"273";"291";"320";"378"
"Ameland";"246";"246";"263";"311";"343"
"Amersfoort";"283";"306";"330";"367";"433"
"Amstelveen";"384";"420";"442";"470";"528"
"Amsterdam";"375";"416";"423";"434";"517"
"Apeldoorn";"245";"263";"278";"306";"378"
"Appingedam";"143";"155";"";"";""
"Arnhem";"206";"221";"240";"265";"324"
"Assen";"184";"195";"210";"238";"278"
"Asten";"299";"321";"331";"364";"404"
"Baarle-Nassau";"298";"316";"337";"361";"380"
"Baarn";"316";"343";"373";"411";"472"
"Barendrecht";"288";"314";"336";"368";"421"
"Barneveld";"297";"317";"339";"376";"434"
"Beek (L.)";"205";"223";"238";"252";"293"
"Beekdaelen";"213";"230";"245";"263";"305"
"Beemster";"369";"405";"429";"";""
"Beesel";"201";"220";"238";"252";"292"
"Berg en Dal";"244";"259";"276";"304";"349"
"Bergeijk";"311";"325";"346";"385";"433"
"Bergen (L.)";"229";"247";"262";"281";"327"
"Bergen (NH.)";"381";"414";"439";"477";"549"
"Bergen op Zoom";"221";"233";"249";"270";"304"
"Berkelland";"241";"255";"273";"299";"357"
"Bernheze";"306";"326";"333";"374";"427"
"Best";"292";"308";"321";"359";"404"
"Beuningen";"251";"271";"291";"329";"377"
"Beverwijk";"214";"239";"259";"286";"341"
"De Bilt";"394";"421";"446";"473";"581"
"Bladel";"293";"310";"331";"367";"409"
"Blaricum";"590";"636";"686";"731";"846"
"Bloemendaal";"681";"735";"775";"830";"932"
"Bodegraven-Reeuwijk";"307";"330";"352";"381";"432"
"Boekel";"285";"304";"309";"344";"398"
"Borger-Odoorn";"197";"209";"227";"253";"297"
"Borne";"246";"261";"280";"313";"370"
"Borsele";"222";"232";"242";"265";"295"
"Boxmeer";"250";"256";"266";"";""
"Boxtel";"267";"284";"298";"324";"376"
"Breda";"271";"292";"313";"336";"382"
"Brielle";"237";"258";"277";"306";""
"Bronckhorst";"272";"290";"303";"352";"419"
"Brummen";"253";"265";"279";"311";"372"
"Brunssum";"148";"161";"172";"188";"222"
"Bunnik";"350";"382";"407";"435";"531"
"Bunschoten";"293";"314";"340";"374";"420"
"Buren";"307";"327";"345";"380";"416"
"Capelle aan den IJssel";"204";"229";"246";"270";"310"
"Castricum";"313";"340";"370";"405";"479"
"Coevorden";"203";"214";"225";"250";"287"
"Cranendonck";"262";"279";"296";"328";"355"
"Cuijk";"225";"238";"256";"";""
